PHYS_ACT_PHRASE,Category,METs,calPerHour_METxWtInKGxTimeInHrs
#currently watching,16,1.3,104.91
@justinbieber watching #neversaynever,16,1.3,104.91
able to eat,35,1.5,121.05
able to read,25,1.5,121.05
able to watch it,16,1.3,104.91
able to watch the,16,1.3,104.91
able to watch the game,16,1.3,104.91
about to eat,35,1.5,121.05
about to eat a,35,1.5,121.05
about to eat and,35,1.5,121.05
about to eat and go,35,1.5,121.05
about to eat and then,35,1.5,121.05
about to eat and watch,35,1.5,121.05
about to eat and watch,16,1.3,104.91
about to eat at,35,1.5,121.05
about to eat at the,35,1.5,121.05
about to eat breakfast,35,1.5,121.05
about to eat dinner,35,1.5,121.05
about to eat dinner with,35,1.5,121.05
about to eat good,35,1.5,121.05
about to eat my,35,1.5,121.05
about to eat my weight in,35,1.5,121.05
about to eat some,35,1.5,121.05
about to eat this,35,1.5,121.05
about to eat this food,35,1.5,121.05
about to get my hair,34,1.3,104.91
about to get my hair cut,34,1.3,104.91
about to get my hair did,34,1.3,104.91
about to get my hair done,34,1.3,104.91
about to get on the phone,25,1.5,121.05
about to get ready for church,40,1.8,145.26
about to take a shower,34,2,161.4
about to take the longest shower,34,2,161.4
about to take this shower,34,2,161.4
about to take this shower and,34,2,161.4
about to watch a,16,1.3,104.91
about to watch a movie,16,1.3,104.91
about to watch a scary movie,16,1.3,104.91
about to watch my,16,1.3,104.91
about to watch some,16,1.3,104.91
about to watch some movies,16,1.3,104.91
about to watch some tv,16,1.3,104.91
about to watch the,16,1.3,104.91
about to watch this,16,1.3,104.91
about to watch this game,16,1.3,104.91
about to watch this movie,16,1.3,104.91
abt to eat,35,1.5,121.05
abt to go eat,35,1.5,121.05
abt to shower,34,2,161.4
abt to take a shower,34,2,161.4
actually ate,35,1.5,121.05
actually did my hair today,34,2.5,201.75
actually did my hair today,34,2.5,201.75
actually do my hair,34,2.5,201.75
actually eating,35,1.5,121.05
actually get dressed,34,2.5,201.75
actually read the book,25,1.5,121.05
actually reading,25,1.5,121.05
actually watch a movie,16,1.3,104.91
actually watch it,16,1.3,104.91
actually watch the game,16,1.3,104.91
actually watching,16,1.3,104.91
actually watching football,16,1.3,104.91
actuallyw atching the game,16,1.3,104.91
addicted to draw something,27,1,80.7
addicted to gambling,26,2.5,201.75
addicted to online shopping,13,1.5,121.05
addicted to shopping,13,2.3,185.61
addiction to online shopping,13,1.5,121.05
aerobic studio,5,6,484.2
aerobics,5,6,484.2
aerobics class,5,6,484.2
aerobics http,5,6,484.2
african dance,7,4.5,363.15
afta church,40,1.8,145.26
after a hot shower,34,2,161.4
after a hot shower,34,2,161.4
after a nice run,33,11.8,952.26
after a nice shower,34,2,161.4
after a run,33,11.8,952.26
after christmas shopping,13,2.3,185.61
after church,40,1.8,145.26
after church lunch,40,1.8,145.26
after church today,40,1.8,145.26
after church tomorrow,40,1.8,145.26
after dinner walk,37,3.5,282.45
after eating,35,1.5,121.05
after eating all,35,1.5,121.05
after eating all that food,35,1.5,121.05
after i ate,35,1.5,121.05
after I clean up,9,3.3,266.31
