activity,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"#currently watching",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"@justinbieber watching #neversaynever",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"able to eat",0,1,3,15,0,3,1,1,2,3,1,7,3,0,2,1,1,0,3,2,2,1,0,4,0,2,3,0,3,0,6,1,0,7,2,0,4,0,0,0,2,8,0,0,4,0,1,0,0
"able to read",0,0,1,4,1,0,2,1,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0
"able to watch it",1,1,0,6,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,3,1,0,1,0,0,3,0,0,0,0,4,0,0,0,1,0,0,0
"able to watch the",0,2,0,2,3,2,0,0,3,1,0,3,0,1,1,1,1,0,2,5,3,1,0,1,0,0,1,0,6,1,4,0,0,4,1,1,6,0,2,0,0,7,0,0,0,1,0,3,0
"able to watch the game",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"about to eat",28,10,11,105,10,5,14,8,62,81,0,61,19,5,11,16,47,1,51,17,76,10,39,21,0,4,8,1,42,5,58,73,0,79,12,3,71,4,36,0,27,128,1,0,39,6,4,15,0
"about to eat a",1,2,0,20,0,0,0,0,5,9,0,8,2,0,1,1,3,0,1,2,8,1,2,3,0,0,3,0,4,1,7,5,0,13,0,0,4,1,2,0,7,18,0,0,4,4,2,2,1
"about to eat and",0,0,0,2,0,1,1,0,1,5,1,4,2,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,1,3,3,0,2,0,0,0,0,2,0,3,2,0,0,1,0,0,1,0
"about to eat and go",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"about to eat and then",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0
"about to eat and watch",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"about to eat and watch",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"about to eat at",4,1,1,5,0,0,0,0,6,5,0,0,1,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,1,2,0,0,0,1,1,4,0
"about to eat at the",0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"about to eat breakfast",0,0,1,2,0,0,0,0,4,3,0,3,1,0,0,1,1,0,6,0,4,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,2,0,2,0,0,9,0,0,0,0,0,2,0
"about to eat dinner",1,1,1,6,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,1,4,0,0,0,0,0,0,0,1,0,3,4,0,4,0,0,4,0,0,0,2,8,0,0,1,0,0,0,0
"about to eat dinner with",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"about to eat good",3,0,0,1,0,0,0,1,1,3,0,1,0,0,1,0,0,0,4,0,2,1,3,1,0,0,1,0,0,0,1,4,0,1,0,0,1,0,5,0,1,6,0,0,2,0,0,1,0
"about to eat my",2,4,2,4,0,1,0,0,2,9,0,4,2,0,0,2,1,0,7,1,9,1,1,2,0,0,0,0,3,0,5,7,0,7,0,0,7,1,1,0,2,10,0,0,5,1,0,1,0
"about to eat my weight in",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
"about to eat some",12,1,8,45,1,6,1,4,22,26,0,12,8,3,4,2,10,0,21,7,26,1,7,8,0,0,6,0,6,1,17,27,0,16,2,3,10,2,13,0,9,36,0,0,16,6,0,3,0
"about to eat this",1,1,1,4,1,0,1,0,4,8,0,6,2,0,0,0,4,0,7,1,8,0,1,2,0,0,0,0,5,0,4,12,0,6,3,2,7,0,4,0,2,10,1,0,5,0,0,0,0
"about to eat this food",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"about to get my hair",2,0,1,0,0,0,0,1,0,5,0,3,0,0,0,1,4,0,1,0,1,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,4,0,3,4,0,0,1,0,0,0,0
"about to get my hair cut",2,0,1,4,0,0,0,0,0,5,0,1,1,1,0,1,0,0,1,0,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,1,1,0,1,0
"about to get my hair did",1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0
"about to get my hair done",3,0,0,3,0,1,0,0,4,5,0,3,2,0,0,0,1,0,5,1,7,0,0,0,0,1,0,0,4,0,2,4,0,7,0,0,10,0,1,0,2,3,1,0,0,1,1,1,0
"about to get on the phone",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"about to get ready for church",1,0,0,0,0,1,0,0,1,5,0,0,1,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
"about to take a shower",6,4,2,18,1,8,3,0,17,27,0,11,3,0,0,5,12,0,12,8,23,2,7,1,0,0,2,0,16,0,13,21,0,21,5,0,21,0,11,0,7,34,0,1,11,0,0,2,0
"about to take the longest shower",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"about to take this shower",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"about to take this shower and",0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"about to watch a",3,1,1,11,0,1,0,1,5,7,0,2,2,2,1,3,1,1,3,3,1,3,2,2,1,0,3,0,3,2,5,4,0,3,0,0,4,0,4,0,4,6,0,0,3,5,0,2,0
"about to watch a movie",4,2,0,12,0,2,5,0,6,4,0,4,3,0,1,1,8,0,3,3,5,1,1,2,0,0,2,1,2,0,5,6,0,10,0,0,4,0,4,0,1,14,0,0,5,3,0,2,0
"about to watch a scary movie",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"about to watch my",4,1,1,8,0,0,0,1,6,5,0,0,2,1,1,1,1,1,3,1,4,1,0,3,0,0,2,0,3,0,5,4,0,4,0,0,6,1,1,0,4,12,0,0,1,3,1,0,0
"about to watch some",5,1,1,5,1,2,0,0,8,7,1,4,7,1,1,0,0,0,5,2,11,0,2,1,0,0,0,1,0,0,6,4,0,9,0,0,0,0,2,0,0,5,0,0,2,0,1,0,0
"about to watch some movies",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
"about to watch some tv",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"about to watch the",14,11,4,86,9,3,6,6,54,36,0,25,10,2,5,11,11,0,17,13,26,6,5,7,0,0,6,0,16,4,38,38,1,36,7,3,24,2,9,1,18,68,1,0,21,10,1,7,0
"about to watch this",9,1,0,14,5,0,0,2,10,8,0,5,0,1,1,1,5,0,6,5,9,0,2,2,0,1,0,0,4,0,5,13,0,18,2,0,10,0,4,0,6,14,0,0,9,2,0,0,0
