State,FLUX
Alabama,21.3011825
Arizona,-7.3342743
Arkansas,21.0667074
California,-10.3394692
Colorado,-41.9497712
Connecticut,7.9812577
Delaware,20.1271499
District of Columbia,-0.2533103
Florida,-3.0623454
Georgia,14.2719966
Idaho,-5.3907392
Illinois,5.8131078
Indiana,6.8983314
Iowa,-3.5326115
Kansas,2.7874734
Kentucky,14.0858819
Louisiana,27.0403915
Maine,-16.8288621
Maryland,11.0345924
Massachusetts,-1.2205374
Michigan,14.9024962
Minnesota,-18.1458407
Mississippi,30.8140593
Missouri,0.1839737
Montana,-11.0617914
Nebraska,-5.0762679
Nevada,-4.2234591
New Hampshire,-18.3038731
New Jersey,11.7342525
New Mexico,-4.3948867
New York,-6.6786841
North Carolina,11.4336325
North Dakota,-2.5346759
Ohio,12.8640617
Oklahoma,1.1414999
Oregon,-16.0833293
Pennsylvania,10.1198778
Rhode Island,-6.71978
South Carolina,11.4024443
South Dakota,-6.1655649
Tennessee,8.0514407
Texas,10.5349034
Utah,-22.2119809
Vermont,-23.9201391
Virginia,5.8977333
Washington,-8.6825777
West Virginia,15.8965091
Wisconsin,-6.7958507
Wyoming,-46.4743348
