"food","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"add bacon",2,0,0,2,0,1,0,0,2,1,0,0,2,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0,1,0,0
"ahi tuna",2,2,0,22,1,0,1,0,5,1,0,7,0,0,2,0,1,0,2,3,2,2,0,2,0,0,0,1,1,0,2,1,0,0,0,0,4,0,1,0,2,9,0,0,0,0,0,0,0
"almond butter",1,1,0,7,1,1,0,1,4,2,0,1,0,0,0,1,1,0,1,5,0,3,0,2,0,0,0,0,1,1,7,1,0,1,0,3,1,0,0,0,2,3,0,0,1,3,0,0,0
"almond joy",0,1,1,9,0,1,0,0,5,4,0,4,2,0,1,1,0,0,0,0,2,0,2,0,0,0,1,1,0,1,1,1,0,4,0,1,2,0,4,0,1,9,0,0,3,2,0,1,0
"almond joys",0,0,0,2,1,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,4,1,0,2,0,0,2,0,1,1,0,2,0,1,1,1,0,0,0
"almonds",2,1,1,35,6,1,1,2,13,5,1,8,4,3,0,2,9,2,3,5,7,3,3,3,0,1,1,0,8,3,22,8,0,12,1,1,8,1,1,1,4,21,2,0,6,5,1,1,0
"american cheese",0,0,0,4,1,2,0,0,2,2,0,1,1,0,2,0,2,0,1,4,1,0,0,2,0,0,1,0,4,1,4,2,0,2,0,0,5,0,1,0,0,0,0,1,1,1,1,0,0
"an apple",6,16,6,45,9,5,1,0,13,18,1,14,4,4,5,4,7,0,9,9,13,7,1,5,0,5,4,3,10,2,34,10,0,13,3,4,23,2,6,0,4,28,8,1,8,6,5,7,0
"an apple pie",0,0,0,6,1,0,1,1,1,1,0,2,3,0,2,1,0,0,4,4,5,0,0,2,0,0,0,0,3,0,2,1,0,3,0,1,2,0,3,0,0,3,0,0,4,2,1,1,0
"an egg",12,10,3,65,6,13,7,1,28,25,2,18,10,8,6,14,9,1,17,9,31,4,8,9,0,3,9,4,23,5,44,15,1,26,8,4,31,2,8,2,12,50,7,0,19,8,4,12,1
"an ice cream",2,3,2,26,1,3,0,1,5,8,1,6,5,0,1,3,4,0,5,6,8,1,0,11,0,1,0,0,5,1,10,2,0,10,0,0,9,0,3,0,0,16,2,0,3,2,1,1,1
"an ice cream cone",0,0,1,11,0,0,1,0,1,1,0,5,1,1,0,1,2,1,2,1,3,1,0,1,0,0,0,0,2,0,1,0,0,6,1,2,1,0,1,0,2,4,1,0,1,0,1,2,0
"an ice cream sandwich",2,0,0,4,0,0,1,0,3,1,0,3,0,0,1,0,2,0,1,2,2,1,0,2,0,0,1,0,1,0,2,1,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"an ice cream truck",4,2,0,2,0,1,0,2,0,4,0,0,0,1,0,0,0,0,3,4,2,1,1,0,0,0,0,0,2,0,5,0,0,3,0,0,2,0,0,0,0,2,0,0,2,1,0,0,0
"an orange",2,2,1,14,2,4,0,1,15,3,0,4,5,1,2,3,0,1,5,5,8,3,1,3,0,1,0,1,8,1,14,4,0,4,5,2,4,1,4,0,4,15,3,0,10,2,1,3,1
"anchovies",0,15,0,9,0,0,0,0,5,0,0,3,1,1,0,0,1,0,1,10,2,0,0,0,0,0,0,0,2,0,1,1,0,3,0,1,1,0,0,0,0,3,0,0,1,9,0,0,0
"angel food cake",1,1,0,6,0,1,0,0,1,2,0,3,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0,2,0,0,1,0,0,1,0,2,0,0,1,1,0,0,1,0,1,0
"angel hair pasta",1,1,0,4,1,0,1,0,2,1,0,0,0,0,0,1,2,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0
"apple butter",2,0,0,3,0,0,0,0,1,2,0,2,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,3,0,1,0,0,1,1,1,0
"apple cider donuts",0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"apple crisp",0,0,0,5,1,2,0,0,1,0,0,2,0,0,0,0,0,1,0,1,3,2,0,0,0,0,0,1,1,0,7,0,0,4,1,3,3,0,1,0,0,0,0,0,2,4,0,1,0
"apple festival",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2,0,2,0,0,2,0,0,0,0,0,0,1,5,0,5,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0
"apple fritter",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,0
"apple fritters",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"apple jacks",10,6,7,16,0,2,2,4,10,16,0,9,4,0,0,3,11,0,9,6,7,1,10,3,0,1,0,0,8,0,17,8,0,14,1,1,8,0,7,0,6,19,0,0,3,6,2,2,0
"apple orchard",0,0,0,0,0,1,0,0,3,1,0,4,5,1,0,0,0,0,2,3,6,4,0,1,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,1,3,0
"apple picking",0,0,0,7,0,18,0,0,2,0,0,3,2,1,0,0,0,5,3,42,1,4,0,2,0,0,0,6,19,0,49,1,0,4,0,0,2,4,1,0,0,1,0,3,10,1,0,0,0
"apple pie",10,7,5,89,11,23,5,8,38,38,1,40,17,12,5,8,14,2,40,27,30,17,7,14,1,4,3,4,19,0,72,24,0,65,3,7,41,8,18,1,15,58,3,4,29,21,6,20,0
"apple pie and",0,0,0,3,0,2,1,0,1,1,0,4,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0,1,0,2,0,0,1,0,0,2,0,1,1,0
"apple pies",2,0,0,8,0,1,0,0,7,10,1,1,1,1,0,4,5,0,8,2,7,1,1,2,0,0,0,0,2,0,9,8,0,1,0,1,5,0,5,0,1,12,0,0,5,1,0,0,0
"apple sauce",2,3,1,9,0,5,1,1,7,10,0,13,1,0,1,1,2,0,12,4,11,4,2,4,0,1,1,0,4,1,5,9,0,6,1,2,10,1,0,0,5,10,0,0,2,3,0,2,0
"applepie",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"apples",7,12,8,158,19,28,6,14,45,57,5,59,18,8,9,14,24,5,43,38,43,32,12,15,1,8,12,8,36,3,92,39,0,53,9,6,59,6,13,3,18,101,10,2,31,21,6,15,0
"applesauce",2,2,0,12,0,2,3,2,7,6,1,7,2,4,1,4,4,1,10,7,10,6,2,5,0,2,3,0,3,1,9,8,1,19,4,1,12,2,4,0,7,13,0,1,8,8,1,3,0
"apricot",0,0,0,4,0,0,0,0,3,1,0,3,0,0,0,0,1,0,3,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,2,2,0,0,0,0,7,0,0,2,0,1,0,1
"apricots",0,1,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,2,0
"artichoke",0,1,0,23,0,1,1,1,3,1,0,1,1,0,1,1,1,0,2,2,2,4,0,1,0,0,5,0,6,0,16,2,0,4,0,2,2,0,1,0,0,3,0,0,1,2,1,0,0
